user_type,intent,domain_type,location_type,importance
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Brand Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Digital Library,Residential Area,Somewhat Important
crowdsource worker,looking for info,Digital Library,Residential Area,Somewhat Important
crowdsource worker,looking for info,Digital Library,Residential Area,Somewhat Important
crowdsource worker,looking for info,Digital Library,Residential Area,Somewhat Important
crowdsource worker,looking for info,Entertainment Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Entertainment Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Entertainment Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Entertainment Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Food Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,News Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Online Ads Distributor,Residential Area,Somewhat Important
crowdsource worker,looking for info,Online Store,Residential Area,Somewhat Important
crowdsource worker,looking for info,Organization Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Organization Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Organization Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Personal Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Personal Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Personal Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Personal Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Rewards Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Rewards Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Rewards Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Search Engine,Residential Area,Somewhat Important
crowdsource worker,looking for info,Search Engine,Residential Area,Somewhat Important
crowdsource worker,looking for info,Search Engine,Residential Area,Somewhat Important
crowdsource worker,looking for info,Search Engine,Residential Area,Somewhat Important
crowdsource worker,looking for info,Search Engine,Residential Area,Somewhat Important
crowdsource worker,looking for info,Search Engine,Residential Area,Somewhat Important
crowdsource worker,looking for info,Uknown / Other,Residential Area,Somewhat Important
crowdsource worker,looking for info,Uknown / Other,Residential Area,Somewhat Important
crowdsource worker,looking for info,Uknown / Other,Residential Area,Somewhat Important
crowdsource worker,looking for info,Weather Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Weather Site,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,looking for info,Web Hosting,Residential Area,Somewhat Important
crowdsource worker,searching,Organization Site,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
crowdsource worker,searching,Search Engine,Residential Area,Not Important
