Content Load,Page Load,Blocked,DNS,Connect,Send,Wait,Receive,Body Size Request,Body Size Response,Header Size Request,Header Size Response,Total Size Request,Total Size Response,Total HTTP Timings
CL02_535_1268,PL02_648_1691,3,0,0,0,326,3,0,10885,455,226,TRTS02_426_573,TRES04_9486_12576,THTTP02_177_412
CL02_535_1268,PL08_7017_9947,3,0,0,0,336,2,0,24224,486,226,TRTS02_426_573,TRES08_21342_27797,THTTP02_177_412
CL05_2430_3062,PL04_2484_3223,5,0,0,0,176,0,0,64,2277,907,TRTS09_2020_3101,TRES01_below_2559,THTTP02_177_412
CL01_below_535,PL01_below_648,6,0,0,0,84,23,0,22926,2160,344,TRTS09_2020_3101,TRES08_21342_27797,THTTP01_below_177
CL01_below_535,PL01_below_648,62,0,0,0,631,0,765,440,922,1279,TRTS07_1486_1724,TRES01_below_2559,THTTP04_626_859
CL01_below_535,PL01_below_648,125,0,0,0,98,1,0,1743,2161,595,TRTS09_2020_3101,TRES01_below_2559,THTTP02_177_412
CL06_3062_3812,PL06_4071_5255,159,0,0,0,212,118,0,24520,741,494,TRTS04_737_925,TRES08_21342_27797,THTTP03_412_626
CL03_1268_1833,PL03_1691_2484,454,0,0,0,194,14,0,6294,1369,753,TRTS06_1189_1486,TRES03_6035_9486,THTTP04_626_859
CL03_1268_1833,PL03_1691_2484,4,0,0,0,145,1,0,0,1509,752,TRTS07_1486_1724,TRES01_below_2559,THTTP01_below_177
CL05_2430_3062,PL04_2484_3223,58,0,0,0,754,0,1317,0,1344,1350,TRTS09_2020_3101,TRES01_below_2559,THTTP04_626_859
CL09_6084_7536,PL10_14346_up,50,0,0,0,133,29,0,11826,624,440,TRTS03_573_737,TRES04_9486_12576,THTTP02_177_412
CL07_3812_4813,PL09_9947_14346,13,0,0,0,189,50,0,10409,1110,376,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
CL03_1268_1833,PL10_14346_up,13,0,0,0,163,182,0,10499,1110,376,TRTS05_925_1189,TRES04_9486_12576,THTTP02_177_412
