CallCnt,ScreenCnt,AppCnt,BatteryValue
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
CALLS1_below_0,SCREEN04_8_12,APPS01_below_19,BATT06_38_52
